Name,RA (HHMMSS),Dec (DDMMSS),Luminosity with FIRST index (W/Hz),Luminosity error with FIRST index (W/Hz),Luminosity distance,LDR2-to-FIRST index,LDR2-to-FIRST index error,LDR2-to-NVSS index,LDR2-to-NVSS index error,Extent (asec),kpc per asec,Extent (kpc),Extent error (kpc),Compact,Point count,Point major,Point minor,Point angle,Raw core calculation,Core flux (mJy),Core flux error (mJy),Core dominance,Core dominance error,Log10(core dominance),Log10(core dominance) error,recno,BZCAT name,BZCAT RA,BZCAT Dec,RAJ2000,DEJ2000,class,Rmag,S1.4,S5,S143,Fxray,Fhard,Fgamma,redshift,z,zflag,radio1,radio2,microwave,optical,xrays,hardxrays,gammarays,notes,cluster,NHgal,E(B-V),avgE(B-V),stdevE(B-V),Av,3FGL,1FGLname,2FGLname,1FHLname,3FGLname,counterpart,ra_fermi,dec_fermi,GLON_fermi,GLAT_fermi,class3LAC,class2FGL,ThetaMAX95,ThetaMIN95,PosAng95,TS,Flux100,Unc_Flux100,PhotonIndex,errPhotonIndex,LDR2 name,LDR2 RA,E_RA,LDR2 Dec,E_DEC,Peak_flux,E_Peak_flux,Total_flux,E_Total_flux,Maj,E_Maj,Min,E_Min,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,PA,E_PA,DC_PA,E_DC_PA,Isl_rms,S_Code,Mosaic_ID,Number_Pointings,Masked_Fraction,BZCAT-LDR2 separation (asec),FIRST RA,FIRST Dec,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,BZCAT-FIRST separation (asec),4LAC name,4LAC RA,4LAC Dec,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,BZCAT-4LAC separation (asec),TeVCat name,TeVCat RA,TeVCat Dec,type,date,dist,cat,NVSS RA,NVSS Dec,_RAJ2000,_DEJ2000,_r,recno,Field,Xpos,Ypos,NVSS name,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,PA,e_MajAxis,e_MinAxis,e_PA,f_resFlux,resFlux,polFlux,polPA,e_polFlux,e_polPA,Image,Separation
J0915+4738,09h 15m 52.95s,47d 38m 20.1s,6.60E+24,1.3e+24,6.94E+25,-0.83,0.12,-0.24,0.10,32.1,5.502108278,176.6,33.01,FALSE,23,6.873233,6.518826,103.284072,0.5573697279,0.5573697279,0.1114739456,0.05066350179,0.0162827878,-1.295304796,0.1395782889,367,5BZB J0915+4738,138.970625,47.63891667,9:15:53,+47:38:20.1,BL Lac,19,7,0,-,0.22,-,-,0.408,0.408,-,-,-,-,r,-,-,-,-,FALSE,1.60E+20,0.0205,0.0196,7.00E-04,0.0635,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ILTJ091552.92+473821.3,138.9705047,2.426993541,47.63925606,3.463015353,0.4478997558,0.09332731965,11.55877524,2.500153848,41.4669942,8.854624916,22.41492179,4.55748865,41.03061348,8.854624916,21.59617717,4.55748865,151.2324698,21.46487967,151.2324698,21.46487967,0.1793242845,S,P141+47,2,1,1.247397686,138.9700205,47.63920684,0.014053002,1.71,1.7685617,0.13650928,1.94,0,142.5,5.74,5.28,142.5,09150+47189F,3,1.8032128,18.416834,g,0,99,99,1997.2505,2450540.922,1.126005845,2450538.654,2450543.642,1.803408709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.63892,138.9705833,47.6401944,0.001275,685452,C0920P48,678.45,427.75,091552+473824,09 15 52.94,+47 38 24.7,0.21,2.1,6.7,0.4,<,30,<,28.9,-,-,-,-,-,-,0.7,3.3,0.39,11.2,Image,0.001274788404
J0924+5300,09h 24m 05.82s,53d 00m 33.8s,2.15E+25,0.4e+25,1.20E+26,-0.59,0.11,-0.38,0.10,33.7,7.004006327,236.1,42.02,FALSE,7,7.030343,6.643135,121.346374,10.41549028,10.41549028,2.083098056,2.490967173,0.2406762149,0.3963680042,0.04196135268,377,5BZB J0924+5300,141.02425,53.00938889,9:24:06,+53:00:33.8,BL Lac,20.2,8,0,-,0.2,-,-,0.64,0.64,-,-,-,-,r,-,-,-,-,FALSE,1.47E+20,0.0129,0.0129,1.00E-04,0.0401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ILTJ092405.69+530032.3,141.0236933,0.03718189086,53.00898748,0.04369530885,8.029676144,0.07174329949,14.59679399,0.2856681909,10.2594976,0.1207311539,6.813712475,0.06064201513,8.320523927,0.1207311539,3.229033855,0.06064201513,51.17330221,1.290997616,51.17330221,1.290997616,0.07174329949,M,P143+52,3,1,1.885097415,141.0243775,53.00934745,0.014053002,3.63,3.834053,0.14771378,2.69,0,75.4,6.03,5.11,75.4,09240+53003F,1,0.3159117,19.142609,g,0,99,99,1997.3425,2450574.54,0,2450574.54,2450574.542,0.3157213463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.00939,141.025,53.0075556,0.001889,695429,C0936P52,941.43,763.58,092406+530027,09 24 06.00,+53 00 27.2,0.36,2.9,6.1,0.5,<,55,<,36.3,-,-,-,-,-,-,-0.2,-,0.63,-,Image,0.00188909248
J0930+4950,09h 30m 37.57s,49d 50m 25.6s,1.94E+24,0.4e+24,2.82E+25,-0.16,0.10,-0.03,0.10,20.4,3.146546021,64.2,18.88,FALSE,15,7.743313,7.349892,98.914644,22.34175024,22.34175024,4.468350048,1725.986048,71023.58514,3.237037281,17.87103155,386,5BZB J0930+4950,142.6565417,49.84044444,9:30:38,+49:50:25.6,BL Lac,17.6,21,18,-,16.7,0.53,-,0.187,0.187,-,-,-,-,r,-,B,-,cl,TRUE,1.38E+20,0.014,0.0135,9.00E-04,0.0433,TRUE,1FGLJ0929.4+5000,-,-,3FGL J0930.0+4951,1ES 0927+500,142.5218,49.8533,168.14545,45.62683,bll,-,0.1479,0.0984,-57.18,36.159084,5.60E-10,4.01E-10,1.4469275,0.21337812,ILTJ093037.53+495025.4,142.656395,0.0374870862,49.8404126,0.03433440341,14.13439826,0.1582151838,22.35469458,0.3766432807,7.745017033,0.08846524349,7.351551334,0.08064368521,4.897462298,0.08846524349,4.247849231,0.08064368521,98.9445085,8.777244049,98.9445085,8.777244049,0.1467744878,S,P142+50,3,1,0.3507015773,142.6566287,49.84042654,0.014053002,15.78,15.647907,0.14043489,0.67,0,29.5,5.44,5.31,29.5,09300+49440F,1,0.15577789,17.357904,g,1,0.11736869,14.608,1997.2957,2450557.436,1.358407727,2450556.588,2450559.616,0.2116488107,4FGL J0930.5+4951,142.6254,49.8577,168.11974,45.69116,8.214394,1.71E-10,3.95E-11,2.14E-12,4.32E-13,PowerLaw,1.785206,0.13783301,7112.3643,1.7452644,0.16928536,0.03700713,0.07478492,0,bll,1ES 0927+500,0.9968058,0.984538,rass,142.6565584,49.84043022,1.15E-06,RFC J0930+4950,Gaia DR2: 1018062142852758784,0.186742,-,0,0,12.340572,0.30271974,0.32653162,0.05541214906,-,-,-,-,-,-,-,-,49.84044,142.6574167,49.8406667,0.000609,703485,C0940P48,874.48,960.19,093037+495026,09 30 37.78,+49 50 26.4,0.08,0.9,21,0.7,<,22.5,<,18.7,-,-,-,-,-,-,0.27,-2.2,0.41,29.4,Image,0.0006091539529
J0950+4553,09h 50m 11.82s,45d 53m 20.1s,5.79E+25,1.2e+25,6.76E+25,-0.48,0.10,-0.41,0.10,51.1,5.426918997,277.1,32.56,FALSE,3,7.067193,6.621896,90.039302,54.23271303,54.23271303,10.84654261,0.8243965654,0.02914441602,-0.08386382623,0.01535336219,408,5BZB J0950+4553,147.54925,45.88891667,9:50:12,+45:53:20.1,BL Lac,18.8,48,37,-,0.12,-,0.5,0.399,0.399,-,-,-,-,r,-,-,-,-,FALSE,1.12E+20,0.0148,0.0147,0.0011,0.046,TRUE,-,2FGLJ0950.1+4554,-,3FGL J0950.1+4554,RX J0950.2+4553,147.5347,45.9035,172.87433,49.721268,bll,BL Lac,0.0532,0.0454,-32.38,122.20597,4.17E-09,1.32E-09,1.9499618,0.12865663,ILTJ095011.87+455318.7,147.5494635,0.01920933784,45.88855122,0.02056502536,41.72534414,0.1376294531,120.0174522,1.644482829,15.14551572,0.04977410542,13.71443866,0.04374779319,13.90631126,0.04977410542,12.33127657,0.04374779319,59.96692685,1.431683572,59.96692685,1.431683572,0.1376294531,M,P149+47,3,1,1.431379809,147.5492572,45.88888549,0.014053002,37.66,40.478714,0.13351326,1.48,1.47,90,5.6,5.6,90,09510+46093F,1,0.08765568,18.474455,s,1,0.14835449,14.996,1997.2167,2450528.605,0.9239694593,2450525.718,2450529.712,0.1255421658,4FGL J0950.2+4553,147.5649,45.8863,172.89343,49.745132,17.592627,4.26E-10,3.98E-11,4.76E-12,4.61E-13,PowerLaw,1.9947695,0.07399697,2240.463,1.984186,0.086556226,0.007960649,0.037290424,0,bll,RX J0950.2+4553,0.9995561,0.91400874,nvss,147.549238,45.888903,2.43E-07,RFC J0950+4553,Gaia DR2: 821406963442591872,0.399,LSP,7.08E+13,8.72E-13,4.398394,0,9.999999,0.06816597098,-,-,-,-,-,-,-,-,45.88892,147.5494167,45.8886944,0.000254,727365,C1000P44,921.25,972.27,095011+455319,09 50 11.86,+45 53 19.3,0.05,0.6,47.7,1.5,<,19.7,<,19.2,-,-,-,-,-,-,1.39,-31,0.43,5.8,Image,0.0002536903543
J1000+5746,10h 00m 50.21s,57d 46m 09.2s,4.54E+26,0.9e+26,1.20E+26,-0.58,0.11,-0.53,0.11,89.5,7.004006327,626.8,42.02,FALSE,13,7.246146,6.879557,74.772277,195.8256141,195.8256141,39.16512282,1.728593228,0.0460500498,0.2376928071,0.01156968696,421,5BZB J1000+5746,150.2092083,57.76922222,10:00:50,+57:46:09.2,BL Lac,19.3,93,60,-,-,-,-,0.64,0.64,-,-,-,-,r,-,-,-,-,FALSE,1.05E+20,0.01,0.0096,2.00E-04,0.0309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ILTJ100050.65+574605.2,150.2110414,0.03210286619,57.76812414,0.0169972127,141.4392183,0.1151790348,309.1117308,2.134022476,37.34766543,0.07765867251,18.56656655,0.0358606763,36.86248361,0.07765867251,17.57035146,0.0358606763,14.49367428,0.2078881841,14.49367428,0.2078881841,0.1151790348,M,P150+57,3,1,5.284728933,150.2090694,57.76921408,0.014053002,77.49,82.65667,0.1450754,1.59,1.17,158.9,5.63,5.53,158.9,10000+57282I,2,0.33929598,18.779926,g,0,99,99,2000.7964,2451835.986,436.8682824,2450594.514,2451989.721,0.2707260859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.76922,150.2100833,57.7687222,0.000682,740371,C1000P56,485.11,937.46,100050+574607,10 00 50.42,+57 46 07.4,0.06,0.6,92.4,3.7,-,18.4,-,14.8,13.4,2.5,3.1,8.7,P*,24,1.75,70.6,0.5,5.1,Image,0.000681717048
J1008+4705,10h 08m 11.43s,47d 05m 21.4s,1.71E+24,0.34e+24,5.65E+25,-0.11,0.10,-0.10,0.10,14.6,4.924126699,71.8,29.54,TRUE,9,6.637049,6.312412,101.446076,5.189878763,5.526826957,1.105365391,-,-,-,-,428,5BZB J1008+4705,152.047625,47.08927778,10:08:11,+47:05:21.4,BL Lac,18.7,5,0,-,7.51,-,-,0.343,0.343,-,-,-,-,r,-,-,-,-,FALSE,7.20E+19,0.0081,0.0076,8.00E-04,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ILTJ100811.43+470521.5,152.0476215,0.04232825668,47.08932293,0.04196216231,4.460204339,0.0662587841,5.526826957,0.1327494737,6.733027815,0.1007415326,6.62569514,0.09772613367,3.054784741,0.1007415326,2.810474134,0.09772613367,126.1706292,37.24984439,126.1706292,37.24984439,0.06334620412,S,P152+47,4,1,0.1559612583,152.0475651,47.08929465,0.014053002,4.17,4.2870154,0.13495216,1.28,0.23,145.2,5.55,5.4,145.2,10090+47189F,1,0.15212527,18.277954,g,1,0.2817736,15.345,1997.2338,2450534.813,2.115653233,2450532.708,2450538.695,0.1675558988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.08928,152.0488333,47.0906111,0.001563,749447,C1020P48,994.01,303.98,100811+470526,10 08 11.72,+47 05 26.2,0.34,3.8,4.4,0.4,<,48,<,37.3,-,-,-,-,-,-,0.44,-35.1,0.43,18.4,Image,0.001563017639
J1012+4229,10h 12m 44.29s,42d 29m 57.0s,4.87E+25,1e+25,6.08E+25,-0.22,0.10,-0.23,0.10,20.8,5.129064135,106.9,30.77,TRUE,13,6.731217,6.424266,106.203743,121.6806199,133.2803416,26.65606831,-,-,-,-,433,5BZB J1012+4229,153.1845417,42.49916667,10:12:44,+42:29:57.0,BL Lac,18.1,80,46,-,5.14,-,0.4,0.365,0.365,-,-,-,-,pr,-,-,-,cl,TRUE,1.45E+20,0.0144,0.0142,4.00E-04,0.0446,TRUE,-,2FGLJ1012.5+4227,-,3FGL J1012.7+4229,B3 1009+427,153.184,42.4937,176.90094,54.400826,bll,BL Lac,0.0576,0.0506,17.26,109.06634,1.68E-09,6.55E-10,1.6634613,0.13325794,ILTJ101244.28+422957.2,153.1844792,0.005223189018,42.49923268,0.006095040072,101.3146413,0.1789051748,133.2803416,0.6894070562,7.222859984,0.01439759587,6.621034112,0.01224711249,4.021106709,0.01439759587,2.799350136,0.01224711249,81.25012307,0.9383420417,81.25012307,0.9383420417,0.1789051748,M,P153+42,4,1,0.2773674808,153.1845321,42.49916847,0.014053002,69.9,79.89575,0.13625968,2.38,1.66,39.2,5.9,5.65,39.2,10120+42170F,2,0.2389995,17.800764,s,1,0.39117074,14.906,1995.9264,2450056.628,115.4137727,2450019.105,2450496.843,0.02177508369,4FGL J1012.7+4228,153.1939,42.4823,176.91704,54.4102,14.2568,2.94E-10,3.77E-11,3.74E-12,5.11E-13,PowerLaw,1.7636055,0.087936185,4272.1094,1.7050797,0.12040809,0.0469621,0.057944957,0,rdg,B3 1009+427,0.99822575,0.9743882,nvss,153.1846051,42.49919272,2.11E-07,RFC J1012+4229,Gaia DR2: 805518509322726912,0.365,ISP,3.98E+14,9.51E-13,15.244551,0.39817515,0.1936685,0.1910514862,-,-,-,-,-,-,-,-,42.49917,153.18425,42.4990833,0.000231,755108,C1020P44,833.24,156.35,101244+422956,10 12 44.22,+42 29 56.7,0.04,0.6,79,2.4,<,18,<,15.5,-,-,-,-,-,-,0.48,-88.7,0.39,15.9,Image,0.0002307229205
J1015+4926,10h 15m 04.14s,49d 26m 00.7s,7.67E+25,1.5e+25,3.25E+25,-0.23,0.10,-0.25,0.10,38.3,3.474452943,133.2,20.85,TRUE,3,6.710747,6.511351,69.319566,644.5103526,670.3332933,134.0666587,-,-,-,-,434,5BZB J1015+4926,153.76725,49.43352778,10:15:04,+49:26:00.7,BL Lac,15.5,378,299,-,13.2,-,7.8,0.212,0.212,-,-,C,-,r,-,-,-,cl,TRUE,8.38E+19,0.0099,0.01,0.0013,0.0306,TRUE,1FGLJ1015.1+4927,2FGLJ1015.1+4925,1FHL J1015.0+4925,3FGL J1015.0+4925,1H 1013+498,153.7711,49.4326,165.53397,52.715134,bll,BL Lac,0.0125,0.012,-11.53,7178.591,5.11E-08,1.68E-09,1.8334184,0.016745932,ILTJ101504.13+492600.9,153.7672024,0.00116961128,49.43359546,0.001203302706,531.0749644,0.1670451311,670.3332933,1.38310976,8.197762689,0.003109842885,7.140272177,0.002437969929,5.585809715,0.003109842885,3.870310439,0.002437969929,47.55934822,0.1146145518,47.55934822,0.1146145518,0.1670451311,M,P154+50,3,1,0.2606952454,153.7671882,49.43355559,0.014053002,385.85,398.158,0.15417103,1,0.92,126.6,5.49,5.48,126.6,10150+49440F,1,0.15089972,15.312645,s,1,0.14942025,13.137,1997.2887,2450554.862,0.8668265006,2450553.654,2450556.623,0.1715621181,4FGL J1015.0+4926,153.768,49.4336,165.53343,52.71268,145.56992,8.88E-09,1.57E-10,9.35E-11,2.18E-12,LogParabola,1.8432412,0.010364872,1006.1233,1.758757,0.016962554,0.041362934,0.00600901,0,bll,1H 1013+498,0.9999745,0.9976128,nvss,153.7672492,49.43352899,1.07E-07,RFC J1015+4926,Gaia DR2: 846983979023105920,0.212,HSP,3.98E+15,1.76E-11,195.59734,0.21063751,0.058370903,0.004068675351,1ES 1011+496,10 15 04.1,+49 26 01,HBL,2007.09,z = 0.212,Default Catalog,-,49.43353,153.7672083,49.4336389,0.000112,757985,C1020P48,704.4,858.57,101504+492601,10 15 04.13,+49 26 01.1,0.05,0.6,377.7,11.3,<,17.2,<,17.1,-,-,-,-,-,-,7.44,19.8,0.4,1,Image,0.0001122258217
J1058+5628,10h 58m 37.73s,56d 28m 11.2s,7.68E+24,1.5e+24,2.10E+25,0.14,0.10,0.15,0.10,23.8,2.522712634,60,15.14,TRUE,9,7.364677,6.799009,88.004588,170.1424363,161.6269818,32.32539635,-,-,-,-,478,5BZB J1058+5628,164.6572083,56.46977778,10:58:38,+56:28:11.2,BL Lac,16,229,247,-,3.13,-,4.8,0.143,0.143,-,-,C,-,gr,-,-,-,el,FALSE,6.65E+19,0.0103,0.0102,3.00E-04,0.0318,TRUE,1FGLJ1058.6+5628,2FGLJ1058.6+5628,1FHL J1058.6+5627,3FGL J1058.6+5627,TXS 1055+567,164.665,56.4549,149.60631,54.43837,bll,BL Lac,0.0167,0.0161,-29.78,3007.9514,3.24E-08,1.62E-09,1.9451904,0.025475252,ILTJ105837.67+562811.1,164.6569665,0.00402569875,56.46975282,0.005599255958,122.343593,0.1688404736,161.6269818,0.9073677854,7.992486757,0.01319002132,6.655686564,0.009473142572,5.280064516,0.01319002132,2.879676051,0.009473142572,91.86140995,0.3761438062,91.86140995,0.3761438062,0.1688404736,M,P165+57,2,1,0.4940077244,164.6573647,56.46990377,0.014053002,207.96,221.37614,0.15266173,1.85,0.64,14.4,5.71,5.44,14.4,11000+56415G,1,0.5272939,15.730984,g,1,0.58405834,12.619,1997.779,2450733.861,197.658911,2450589.582,2451006.432,0.5415066689,4FGL J1058.6+5627,164.6652,56.4634,149.59544,54.43242,76.6749,3.12E-09,9.14E-11,3.13E-11,1.19E-12,LogParabola,1.9434319,0.018795274,1055.2075,1.8705256,0.02817906,0.04033059,0.0111860335,0,BLL,TXS 1055+567,1,0,identified,164.6571986,56.46977971,9.07E-08,RFC J1058+5628,Gaia DR2: 856842200277126272,0.143,ISP,5.62E+14,6.87E-12,155.50533,0.35064417,0.09745266,0.02274306453,-,-,-,-,-,-,-,-,56.46978,164.657125,56.4699444,0.000171,811382,C1048P56,159.87,632.55,105837+562811,10 58 37.71,+56 28 11.8,0.05,0.6,228,6.9,<,17.1,<,16.4,-,-,-,-,-,-,0.85,85.5,0.41,9.3,Image,0.0001709732226
J1131+5808,11h 31m 18.64s,58d 08m 58.8s,3.58E+25,0.7e+25,5.98E+25,-0.47,0.10,-0.35,0.10,50.1,5.083354203,254.6,30.50,FALSE,27,6.597658,6.428888,108.307194,28.4681936,28.4681936,5.693638721,0.4370924727,0.008511721278,-0.3594266726,0.008457234598,520,5BZB J1131+5808,172.8276667,58.14966667,11:31:19,+58:08:58.8,BL Lac,16.7,43,51,-,0.18,-,0.4,0.36,0.36,-,-,-,-,r,-,-,-,cl,TRUE,9.77E+19,0.0124,0.0123,7.00E-04,0.0386,TRUE,-,2FGLJ1130.9+5809,1FHL J1130.4+5814,3FGL J1131.1+5810,1RXS J113117.8+580911,172.7798,58.168,141.7871,55.922318,bll,BL Lac,0.0634,0.0626,-19,124.90853,8.31E-09,2.15E-09,2.2838454,0.120604426,ILTJ113118.97+580853.3,172.829028,0.04928539996,58.14815302,0.04347267303,24.16585444,0.0717886287,93.59901918,0.8968414081,18.29165039,0.1187218347,15.80324285,0.09926895608,17.27952555,0.1187218347,14.61935781,0.09926895608,155.8677025,2.005353738,155.8677025,2.005353738,0.0717886287,M,P174+57,4,1,6.039840993,172.8278556,58.14958048,0.014053002,28.82,31.795815,0.14788377,2.07,1.34,149.7,5.78,5.56,149.7,11330+58155J,1,0.54446995,16.401196,s,1,0.5837786,13.898,2001.2762,2452011.345,83.42615983,2451989.784,2452447.54,0.4776636367,4FGL J1131.4+5809,172.8555,58.151,141.7437,55.958195,15.525442,3.47E-10,3.48E-11,3.95E-12,3.83E-13,PowerLaw,2.1837764,0.08378948,1678.9636,2.1936114,0.08579218,-0.011312555,0.03572659,0,bll,1RXS J113117.8+580911,0.998925,0.875704,nvss,172.8276203,58.14966433,2.11E-07,RFC J1131+5808,Gaia DR2: 857993732548377216,0.359646,ISP,1.41E+14,3.69E-12,14.033527,0.2886686,0.15350544,0.09656059149,-,-,-,-,-,-,-,-,58.14967,172.8280833,58.1491667,0.000549,851582,C1130P60,470.44,68.98,113118+580857,11 31 18.74,+58 08 57.0,0.07,0.7,42.6,1.3,<,21.6,<,18.9,-,-,-,-,-,-,0.75,17.3,0.43,10.8,Image,0.000548524264
